page_title,revision_id,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
"Brewton, Alabama",1162427481,GA,0.21735849971182342,0.3482075506707024,0.02222480726737839,0.3807087730345813,0.027123671213527614,0.004376698101986809
"Bridgeport, Alabama",1165537046,GA,0.12984663444379704,0.2013415244954745,0.01913074225323746,0.6312993921262134,0.015348853617199905,0.0030328530640776545
"Brighton, Alabama",1177621572,C,0.2460516733337415,0.4974335678933237,0.00976026721676203,0.16617686985440633,0.07551990892569897,0.005057712776067641
"Brilliant, Alabama",1166016323,GA,0.203149430331768,0.15738055523328115,0.010598646826219131,0.599393111280085,0.026126158659435815,0.0033520976692108188
"Brookside, Alabama",1170769013,C,0.24809276131639538,0.48250398009284234,0.026049188094404954,0.20953260741379545,0.028678960378284886,0.005142502704276854
"Brookwood, Alabama",1178216914,C,0.16013329536274404,0.46302062796638166,0.006316835395156665,0.11740955696532379,0.24821834788247782,0.004901336427915941
"Brundidge, Alabama",1165537457,C,0.286854055265989,0.5080629888901371,0.017185489878716348,0.1162241230573684,0.06658335081206587,0.005089992095722984
"Butler, Alabama",1144752979,C,0.21809017823340848,0.5315685992084838,0.00716210826503297,0.07817945230718745,0.1599104108592677,0.005089251126619718
"Calera, Alabama",1165537934,C,0.16871195591985094,0.7145777443428061,0.0059405639269058536,0.03431044994378195,0.07328980680134915,0.0031694790653062025
"Camden, Alabama",1176316224,GA,0.1785136281010634,0.3180172929503446,0.025112144230741276,0.44639266236276687,0.02761026315552734,0.004354009199556552
"Camp Hill, Alabama",1166017104,C,0.23649331925200706,0.4257165872954044,0.015640146978581397,0.2532622361305243,0.06393205995712344,0.004955650386359534
"Carbon Hill, Alabama",1175376595,C,0.2728778515126434,0.6232130430552452,0.03282906339467958,0.04849759020196585,0.018788197074713225,0.0037942547607529254
"Cardiff, Alabama",1166017260,Start,0.12528188912649457,0.2745333525269755,0.005036606211774953,0.017267980613606314,0.570316997074832,0.0075631744463166735
"Carolina, Alabama",1166017310,Start,0.18494804783901153,0.3330914900123845,0.0063639022763574615,0.05328895170893475,0.4135932390602585,0.008714369103053312
"Carrollton, Alabama",1096812581,C,0.25236566009220474,0.38708853626793205,0.010404824999557938,0.2002505105870025,0.14432133653555407,0.005569131517748702
"Castleberry, Alabama",1166017442,Start,0.1874302545571753,0.3237699488165388,0.0077909356180827635,0.11191664510199613,0.3597465705825276,0.009345645323679428
"Cedar Bluff, Alabama",1177836881,C,0.18400860100485752,0.39886621611633455,0.008007356141293581,0.14975707475042543,0.25357387564989486,0.0057868763371939184
"Center Point, Alabama",1174837569,C,0.2599386725984385,0.48519370120589805,0.012097514031686041,0.13198840163020997,0.10485000139075856,0.005931709143009004
